NLC,Estacion,Entradas_semana,Entradas_sabado,Entradas_domingo,Salidas_semana,Salidas_sabado,Salidas_domingo,Entradas_salidas_anual_millones
548.0,Clapham North,7715.0,8205.0,5051.0,9571.0,8069.0,5172.0,5.82
549.0,Clapham South,12511.0,8833.0,5707.0,12191.0,7942.0,5746.0,7.8
550.0,Cockfosters,2710.0,2659.0,1562.0,2663.0,2385.0,1558.0,1.81
551.0,Colindale,7275.0,4612.0,2999.0,6509.0,3863.0,2806.0,4.27
552.0,Colliers Wood,9214.0,6998.0,4569.0,8465.0,6083.0,4393.0,5.68
553.0,Covent Garden,26472.0,32731.0,21356.0,31067.0,44996.0,24297.0,21.29
554.0,Croxley,1611.0,557.0,346.0,1536.0,497.0,335.0,0.89
555.0,Dagenham East,3894.0,2569.0,1469.0,3496.0,2209.0,1415.0,2.29
556.0,Dagenham Heathway,8166.0,4889.0,3127.0,7868.0,4620.0,2996.0,4.91
557.0,Debden,3959.0,1720.0,886.0,3657.0,1539.0,841.0,2.2
558.0,Dollis Hill,6061.0,3875.0,3038.0,4136.0,2095.0,1899.0,3.18
560.0,Ealing Broadway,26762.0,17086.0,12130.0,24508.0,15898.0,11653.0,16.09
561.0,Ealing Common,5075.0,3652.0,2394.0,5113.0,3471.0,2482.0,3.24
562.0,Earl's Court,30803.0,27979.0,26157.0,29131.0,26881.0,24872.0,21.03
563.0,East Acton,5600.0,3728.0,2637.0,5502.0,3218.0,2502.0,3.47
564.0,Eastcote,4428.0,2218.0,1189.0,4104.0,1981.0,1194.0,2.52
565.0,East Finchley,10747.0,6671.0,4175.0,9788.0,5470.0,3926.0,6.3
566.0,East Ham,21199.0,15789.0,11034.0,20243.0,13920.0,10703.0,13.31
567.0,East Putney,9173.0,5904.0,3670.0,8011.0,4995.0,3403.0,5.33
568.0,Edgware,6633.0,4300.0,3029.0,6400.0,3968.0,3001.0,4.08
569.0,Edgware Road (Cir),10386.0,6160.0,4027.0,10111.0,6409.0,3984.0,6.31
570.0,Elephant & Castle,29079.0,20797.0,14576.0,27145.0,19241.0,13446.0,17.96
571.0,Elm Park,4351.0,2085.0,1188.0,4135.0,1900.0,1165.0,2.49
572.0,Epping,5391.0,3983.0,2371.0,3976.0,3569.0,2147.0,3.03
574.0,Euston,56039.0,44532.0,36468.0,57197.0,46640.0,33655.0,37.53
575.0,Euston Square,19540.0,6727.0,5091.0,20324.0,6745.0,4615.0,11.36
576.0,Fairlop,1567.0,881.0,485.0,1440.0,849.0,456.0,0.91
577.0,Farringdon,39802.0,7929.0,4625.0,35654.0,7602.0,3924.0,20.4
578.0,Finchley Central,9080.0,6138.0,3266.0,8787.0,5278.0,3397.0,5.51
579.0,Finchley Road,15125.0,10812.0,7316.0,14296.0,9685.0,7216.0,9.37
580.0,Finsbury Park,40602.0,37323.0,21661.0,38804.0,29494.0,20234.0,26.04
581.0,Fulham Broadway,15294.0,11201.0,6588.0,14958.0,9909.0,6027.0,9.5
582.0,Gants Hill,9339.0,5434.0,3712.0,8873.0,5163.0,3668.0,5.59
583.0,Gloucester Road,22020.0,17540.0,13201.0,21210.0,16783.0,11747.0,14.19
584.0,Golders Green,12239.0,8716.0,6445.0,11698.0,7638.0,5912.0,7.64
585.0,Goldhawk Road,2868.0,1912.0,1094.0,2679.0,1679.0,1118.0,1.72
586.0,Goodge Street,14611.0,6923.0,3419.0,14953.0,7142.0,3407.0,8.61
587.0,Grange Hill,1009.0,445.0,228.0,850.0,369.0,216.0,0.54
588.0,Great Portland Street,13222.0,4444.0,3047.0,12825.0,4041.0,2501.0,7.36
589.0,Greenford,6597.0,4277.0,2650.0,6506.0,4023.0,2550.0,4.05
590.0,Green Park,51766.0,30248.0,19110.0,58893.0,37811.0,22446.0,33.99
591.0,Gunnersbury,9028.0,3432.0,2262.0,7032.0,2857.0,2034.0,4.64
592.0,Hainault,4905.0,2662.0,1703.0,4577.0,2442.0,1643.0,2.86
593.0,Hammersmith (Dis),46256.0,31968.0,22166.0,44176.0,29993.0,20995.0,28.65
594.0,Hampstead,6570.0,5235.0,3883.0,6729.0,5282.0,4016.0,4.38
595.0,Hanger Lane,5731.0,3706.0,2589.0,5383.0,3211.0,2192.0,3.45
596.0,Harlesden,4187.0,2224.0,1384.0,3889.0,1990.0,1382.0,2.43
597.0,Harrow & Wealdstone,7344.0,4790.0,3109.0,6953.0,4361.0,2991.0,4.45
598.0,Harrow-on-the-Hill,13922.0,8933.0,6186.0,14514.0,8774.0,6227.0,8.85
599.0,Wood Lane,5337.0,4366.0,2949.0,5828.0,4834.0,2958.0,3.65
601.0,Hendon Central,11727.0,6574.0,4310.0,10856.0,5521.0,3883.0,6.83
602.0,High Barnet,4916.0,2910.0,1877.0,4510.0,2486.0,1699.0,2.88
603.0,Highbury & Islington,26407.0,18903.0,12331.0,26143.0,19125.0,13056.0,16.77
604.0,Highgate,7795.0,5344.0,3201.0,7420.0,4809.0,3272.0,4.76
605.0,High Street Kensington,20005.0,14575.0,9501.0,20494.0,15105.0,9302.0,12.9
606.0,Hillingdon,2525.0,1645.0,855.0,2287.0,1478.0,888.0,1.48
607.0,Holborn,51059.0,27751.0,16064.0,54112.0,29946.0,16109.0,31.51
608.0,Holland Park,5471.0,3564.0,2279.0,5192.0,3309.0,2181.0,3.32
609.0,Holloway Road,11709.0,7438.0,4704.0,11554.0,6969.0,4587.0,7.18
610.0,Hornchurch,3464.0,1486.0,740.0,3478.0,1513.0,779.0,2.0
611.0,Hounslow Central,6039.0,4081.0,3135.0,5859.0,3898.0,2919.0,3.78
612.0,Hounslow East,6332.0,4895.0,3875.0,6472.0,4534.0,3599.0,4.17
